,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
459,nuuk,gl,64.17,-51.74,48.2,70.0,40.0,6.93
461,quatre cocos,mu,-20.21,57.76,73.4,88.0,75.0,3.36
462,bintulu,my,3.17,113.03,75.2,94.0,75.0,3.36
463,souillac,mu,-20.52,57.52,73.4,88.0,75.0,3.36
464,beni,cd,0.49,29.47,63.08,100.0,68.0,3.04
465,portobelo,pa,9.55,-79.65,86.0,74.0,40.0,6.93
466,ambilobe,mg,-13.19,49.05,67.4,65.0,0.0,7.25
467,nchelenge,zm,-9.35,28.74,66.59,68.0,68.0,1.81
468,markova,ru,52.21,104.21,55.4,100.0,90.0,4.47
469,puerto leguizamo,co,-0.19,-74.78,83.87,69.0,48.0,2.37
470,tazovskiy,ru,67.47,78.7,59.48,80.0,32.0,15.86
471,corrente,br,-17.45,-44.68,69.2,61.0,0.0,3.04
473,atar,mr,20.52,-13.05,94.67,17.0,0.0,7.29
474,port lincoln,au,-34.72,135.86,45.35,100.0,0.0,7.63
475,hay river,ca,60.82,-115.79,69.8,68.0,40.0,9.17
476,esmeraldas,ec,-1.87,-79.8,78.8,65.0,90.0,6.93
478,sompeta,in,18.93,84.6,77.93,94.0,36.0,5.12
480,sur,om,22.57,59.53,90.17,79.0,68.0,5.35
481,nyurba,ru,63.29,118.35,59.3,90.0,0.0,2.55
482,gweta,bw,-20.21,25.26,57.14,42.0,0.0,11.27
483,kazanskaya,ru,45.41,40.44,74.15,56.0,8.0,2.55
484,winnemucca,us,40.97,-117.74,82.4,10.0,1.0,5.82
485,krasnomayskiy,ru,55.0,82.52,59.0,82.0,0.0,6.71
487,puerto baquerizo moreno,ec,-0.9,-89.6,77.0,73.0,75.0,14.99
488,okahandja,na,-21.98,16.91,59.0,28.0,0.0,4.7
489,concepcion,bo,-16.14,-62.02,80.6,51.0,40.0,9.17
490,aykhal,ru,65.95,111.51,58.85,69.0,12.0,6.35
491,dhidhdhoo,mv,6.88,73.1,83.51,97.0,88.0,20.89
495,lichinga,mz,-13.3,35.25,60.8,77.0,20.0,6.93
496,otane,nz,-39.89,176.62,39.14,95.0,88.0,3.6
497,de-kastri,ru,51.48,140.77,49.85,94.0,92.0,4.5
498,doctor arroyo,mx,23.67,-100.18,73.16,65.0,48.0,1.48
499,yar-sale,ru,66.83,70.83,49.85,68.0,48.0,11.39
500,surt,ly,31.21,16.59,72.8,97.0,0.0,9.37
501,clyde river,ca,70.47,-68.59,41.0,99.0,75.0,5.82
502,gemena,cd,3.25,19.78,71.9,95.0,48.0,3.38
503,las lajas,hn,14.9,-87.59,84.2,74.0,20.0,5.82
504,gander,ca,48.95,-54.61,64.4,68.0,40.0,14.99
505,sol-iletsk,ru,51.16,55,65.24,34.0,8.0,9.31
506,kalmar,se,56.66,16.36,53.6,71.0,0.0,10.29
507,mount gambier,au,-37.83,140.78,40.13,86.0,44.0,4.9
508,bonthe,sl,7.53,-12.5,78.65,84.0,88.0,5.01
510,ullapool,gb,57.9,-5.16,50.93,98.0,0.0,16.58
511,kodlipet,in,12.8,75.88,69.2,99.0,100.0,2.04
512,karlshamn,se,56.17,14.86,55.4,58.0,0.0,11.41
513,solnechnyy,ru,50.72,136.64,45.8,99.0,92.0,6.85
514,palmares do sul,br,-30.26,-50.51,77.0,65.0,75.0,5.82
515,lakshmipur,bd,22.94,90.83,82.16,93.0,48.0,9.31
516,hosanagara,in,13.92,75.07,70.64,100.0,92.0,4.34
517,inhambane,mz,-23.87,35.38,69.65,100.0,64.0,6.35
518,placido de castro,br,-10.34,-67.19,82.88,70.0,76.0,2.04
519,ugoofaaru,mv,5.67,73,83.42,97.0,92.0,19.44
520,takhtamygda,ru,54.1,123.57,54.17,94.0,0.0,2.82
521,zabid,ye,14.2,44.5,70.28,19.0,44.0,6.73
522,changzhou,cn,31.81,119.97,67.76,92.0,92.0,7.85
523,forbes,au,-33.38,148.01,33.38,82.0,0.0,2.77
524,wa,gh,10.06,-2.51,71.9,95.0,88.0,6.91
525,bosaso,so,11.28,49.18,89.9,85.0,88.0,4.5
526,bratsk,ru,56.15,101.63,60.8,93.0,92.0,4.47
527,high prairie,ca,55.43,-116.48,80.99,43.0,56.0,6.13
528,ulles,hu,46.34,19.84,75.2,73.0,0.0,9.17
530,gao,ml,16.28,-0.04,91.52,27.0,0.0,7.63
531,bay roberts,ca,47.58,-53.28,66.2,59.0,75.0,26.4
532,indianola,us,40.24,-100.42,80.6,39.0,20.0,16.11
533,trinidad,bo,-14.83,-64.9,82.4,54.0,0.0,9.17
534,san cristobal,ec,-1.02,-79.44,65.87,92.0,64.0,3.0
536,pimentel,pe,-6.84,-79.94,71.6,68.0,90.0,6.93
537,san luis,ar,-33.3,-66.34,57.23,25.0,0.0,10.31
540,bakchar,ru,57.02,82.07,63.71,58.0,56.0,7.25
541,alma,ca,48.55,-71.65,59.0,44.0,40.0,4.7
542,ascoli piceno,it,42.85,13.58,75.2,69.0,0.0,5.82
543,nushki,pk,29.55,66.02,60.11,25.0,0.0,2.59
544,vredendal,za,-31.68,18.49,48.23,87.0,88.0,2.89
545,kasama,zm,-10.21,31.19,71.18,39.0,88.0,8.41
546,wangan,ph,7.16,125.44,68.75,97.0,20.0,2.1
547,aitape,pg,-3.15,142.36,80.63,99.0,76.0,3.6
548,husavik,is,66.04,-17.34,55.4,71.0,75.0,14.99
549,pierre,us,44.37,-100.35,75.2,53.0,20.0,10.29
550,charters towers,au,-20.07,146.27,46.07,84.0,36.0,4.05
551,komsomolskiy,ru,67.55,63.78,51.83,86.0,0.0,10.87
552,beringovskiy,ru,63.05,179.32,42.65,100.0,0.0,6.24
553,wanning,cn,18.8,110.4,84.95,97.0,32.0,13.67
555,cockburn town,tc,21.46,-71.14,84.32,96.0,24.0,11.88
556,keetmanshoop,na,-26.57,18.15,42.02,57.0,0.0,5.73
557,sao miguel do araguaia,br,-13.28,-50.16,76.67,72.0,0.0,2.89
558,moranbah,au,-22.0,148.04,55.88,96.0,92.0,11.54
559,usakos,na,-22.0,15.59,48.95,67.0,0.0,2.37
560,tiarei,pf,-17.53,-149.33,82.4,65.0,20.0,2.24
561,qandala,so,11.47,49.87,78.02,61.0,44.0,1.59
562,jiazi,cn,19.61,110.49,80.6,94.0,0.0,2.24
563,khandyga,ru,62.65,135.58,61.91,53.0,48.0,4.9
564,do gonbadan,ir,30.36,50.8,89.6,8.0,0.0,6.93
565,homer,us,59.64,-151.54,52.66,81.0,90.0,3.36
566,celestun,mx,20.87,-90.4,83.69,95.0,68.0,10.6
567,santa maria,cv,16.6,-22.9,75.2,73.0,75.0,19.46
568,rosarito,mx,27.04,-109.91,96.8,28.0,5.0,4.7
569,santa cruz del sur,cu,20.71,-78,87.65,80.0,20.0,5.28
570,hamilton,bm,32.3,-64.78,80.6,74.0,20.0,18.34
